ligand,receptor,TF
None,EPHA8,SMAD2
None,EPHA8,ZIC1
None,EPHA8,PBX1
None,EPHA8,RAD51
None,EPHA8,PAX6
None,EPHA8,ASH1L
None,EPHA8,STAT1
None,EPHA8,STAT5B
None,EPHA8,MEF2C
None,EPHA8,KCNIP3
None,EPHA8,TGIF1
None,EPHA8,MTA2
None,EPHA8,ABL1
None,EPHA8,ATF6
None,EPHA8,NEUROD1
None,EPHA8,LDB1
None,EPHA8,SPDEF
None,EPHA8,CTNNB1
None,EPHA8,MEIS2
None,EPHA8,MYC
None,EPHA8,LHX2
None,EPHA8,BRD7
None,EPHA8,MTA1
None,EPHA8,TCF7L2
None,EPHA8,STAT4
None,EPHA8,SETBP1
None,EPHA8,MEIS1
None,EPHA8,NKX2-1
None,EPHA8,TRRAP
None,EPHA8,MTA3
None,EPHA8,FOS
None,EPHA8,SRF
None,EPHA8,BPTF
None,EPHA8,DEK
None,EPHA8,CREB1
None,EPHA8,TFAP2B
None,EPHA8,NR4A3
None,EPHA8,MDM4
None,EPHA8,HNRNPD
None,EPHA8,HNF4A
None,EPHA8,CREBBP
None,EPHA8,EGF
None,EPHA8,HOXB1
None,EPHA8,STAT6
None,EPHA8,STAT5A
None,EPHA8,EP300
None,EPHA8,STAT3
None,EPHA8,ISL1
None,EPHA8,ZBTB5
None,EPHA8,NR4A1
None,EPHA8,ELF2
None,EPHA8,NR4A2
None,EPHA8,FOXG1
None,EPHA8,NFKBIZ
None,NGFR,JUN
None,NGFR,E2F1
None,NGFR,RB1CC1
None,NGFR,MYCN
None,NGFR,RUNX2
None,NGFR,ECD
None,NGFR,ARX
None,NGFR,PHOX2B
None,NGFR,NKX2-1
None,NGFR,HLTF
None,NGFR,PAX3
None,NGFR,SOX9
None,NGFR,FOS
None,NGFR,THRA
None,NGFR,SRF
None,NGFR,PAX8
None,NGFR,TRAF6
None,NGFR,FOXP3
None,NGFR,MITF
None,NGFR,SP7
None,NGFR,DEK
None,NGFR,TP53
None,NGFR,CREB1
None,NGFR,FOXD3
None,NGFR,EGR3
None,NGFR,SP3
None,NGFR,ETV6
None,NGFR,NFKB1
None,NGFR,MDM4
None,NGFR,NFKBIA
None,NGFR,SP1
None,NGFR,SIN3A
None,NGFR,NANOG
None,NGFR,SNAI1
None,NGFR,SMAD3
None,NGFR,DAXX
None,NGFR,NAB2
None,NGFR,SMAD2
None,NGFR,ATF3
None,NGFR,ZIC1
None,NGFR,HDAC2
None,NGFR,HNF4A
None,NGFR,NCOR1
None,NGFR,MECP2
None,NGFR,ESR1
None,NGFR,GLI2
None,NGFR,TCF19
None,NGFR,EGF
None,NGFR,POU5F1
None,NGFR,EGR4
None,NGFR,AATF
None,NGFR,ATOH1
None,NGFR,LIN28A
None,NGFR,NFATC1
None,NGFR,PPARGC1A
None,NGFR,HOXB7
None,NGFR,HOXB1
None,NGFR,NFKBIB
None,NGFR,GATA3
None,NGFR,TWIST1
None,NGFR,KLF4
None,NGFR,FOXO3
None,NGFR,EGR2
None,NGFR,WT1
None,NGFR,ID2
None,NGFR,KAT5
None,NGFR,NF1
None,NGFR,PAX6
None,NGFR,GLI3
None,NGFR,STAT1
None,NGFR,STAT5B
None,NGFR,E2F3
None,NGFR,MYOCD
None,NGFR,SOX2
None,NGFR,RUNX3
None,NGFR,BMI1
None,NGFR,LEF1
None,NGFR,SOX4
None,NGFR,KCNIP3
None,NGFR,FOXA1
None,NGFR,OTX2
None,NGFR,ESR2
None,NGFR,FOXO1
None,NGFR,MSX1
None,NGFR,TP63
None,NGFR,USF1
None,NGFR,ABL1
None,NGFR,SOX10
None,NGFR,HOXB4
None,NGFR,MDM2
None,NGFR,STAT3
None,NGFR,ISL1
None,NGFR,CEBPA
None,NGFR,NFIC
None,NGFR,OLIG2
None,NGFR,IKBKB
None,NGFR,TFAP2A
None,NGFR,NEUROD1
None,NGFR,RUNX1T1
None,NGFR,POU3F1
None,NGFR,POU4F1
None,NGFR,RELA
None,NGFR,ZEB2
None,NGFR,NFE2L1
None,NGFR,ETS2
None,NGFR,AR
None,NGFR,NOTCH3
None,NGFR,CEBPD
None,NGFR,GLI1
None,NGFR,ZEB1
None,NGFR,SNAI2
None,NGFR,CTNNB1
None,NGFR,GATA4
None,NGFR,SOX5
None,NGFR,MYC
None,NGFR,EGR1
None,NGFR,HDAC1
None,NGFR,APBB1
None,NGFR,FOXJ1
None,NGFR,EZH2
None,NGFR,HIF1A
None,NGFR,EWSR1
None,NGFR,ASCL1
None,NGFR,PRDM1
None,NGFR,FOXA2
None,NGFR,TCF7L2
None,NGFR,KLF2
None,NGFR,ENO1
None,NGFR,PPARG
None,NGFR,POU3F2
None,NGFR,NKX2-2
None,NGFR,SRSF1
None,NGFR,RBPJ
None,NGFR,PAX5
None,NGFR,SREBF2
None,DRD4,JUN
None,DRD4,CHD8
None,DRD4,RB1CC1
None,DRD4,MAF
None,DRD4,NR3C1
None,DRD4,PHOX2B
