Receptor,TF,Source
IL3RA,STAT4,CellCall
IL3RA,STAT5A,CellCall
IL3RA,STAT5B,CellCall
IL3RA,STAT6,CellCall
IL3RA,IRF9,CellCall
PRLR,MYC,CellCall
PRLR,STAT1,CellCall
PRLR,STAT2,CellCall
PRLR,STAT3,CellCall
PRLR,STAT4,CellCall
PRLR,STAT5A,CellCall
PRLR,STAT5B,CellCall
PRLR,STAT6,CellCall
PRLR,IRF9,CellCall
CLDN7,GATA4,CellCall
CLDN8,GATA4,CellCall
CLDN6,GATA4,CellCall
CLDN9,GATA4,CellCall
BMPR1A,SMAD1,CellCall
BMPR1A,SMAD4,CellCall
BMPR2,SMAD1,CellCall
BMPR2,SMAD4,CellCall
ERBB4,CTNNB1,CellCall
ERBB4,HIF1A,CellCall
ERBB4,MYC,CellCall
ERBB4,TFAP4,CellCall
MET,CTNNB1,CellCall
MET,HIF1A,CellCall
MET,MYC,CellCall
MET,TFAP4,CellCall
NOTCH1,GATA3,CellCall
NOTCH2,GATA3,CellCall
AGTR1,ATF4,CellCall
AGTR1,CREB1,CellCall
AGTR1,ATF2,CellCall
AGTR1,ATF6B,CellCall
AGTR1,CREB5,CellCall
AGTR1,CREB3L2,CellCall
AGTR1,CREB3L3,CellCall
AGTR1,CREB3L1,CellCall
AGTR1,CREB3L4,CellCall
EGFR,ABL1,CellCall
EGFR,ATF4,CellCall
EGFR,CREB1,CellCall
EGFR,ATF2,CellCall
EGFR,ATF6B,CellCall
EGFR,EGR1,CellCall
EGFR,ELK1,CellCall
EGFR,ESR1,CellCall
EGFR,ESR2,CellCall
EGFR,FOS,CellCall
EGFR,JUN,CellCall
EGFR,MED1,CellCall
EGFR,SP1,CellCall
EGFR,NCOA3,CellCall
EGFR,CREB5,CellCall
EGFR,CREB3,CellCall
EGFR,CREB3L2,CellCall
EGFR,CREB3L3,CellCall
EGFR,CREB3L1,CellCall
EGFR,CREB3L4,CellCall
EDAR,TRAF6,CellCall
EDNRA,CREB1,CellCall
EDNRA,CREBBP,CellCall
EDNRA,CTNNB1,CellCall
EDNRA,ETS1,CellCall
EDNRA,FOXO1,CellCall
EDNRA,FOS,CellCall
EDNRA,GLI1,CellCall
EDNRA,GLI3,CellCall
EDNRA,IKBKB,CellCall
EDNRA,JUN,CellCall
EDNRA,MDM2,CellCall
EDNRA,MYC,CellCall
EDNRA,NFATC1,CellCall
EDNRA,NFKB1,CellCall
EDNRA,NFKB2,CellCall
EDNRA,NFKBIA,CellCall
EDNRA,PPARA,CellCall
EDNRA,RELA,CellCall
EDNRA,SOX9,CellCall
EDNRA,TCF7,CellCall
EDNRA,TCF7L2,CellCall
EDNRA,TP53,CellCall
EDNRA,TRAF6,CellCall
EDNRA,CREB5,CellCall
EDNRA,CREB3,CellCall
EDNRA,LEF1,CellCall
EDNRA,CREB3L2,CellCall
EDNRA,TCF7L1,CellCall
EDNRA,CREB3L3,CellCall
EDNRA,CREB3L1,CellCall
EDNRA,CREB3L4,CellCall
EDNRB,ATF4,CellCall
EDNRB,CREB1,CellCall
EDNRB,ATF2,CellCall
EDNRB,ATF6B,CellCall
EDNRB,CTNNB1,CellCall
EDNRB,ETS1,CellCall
EDNRB,FOXO1,CellCall
EDNRB,FOS,CellCall
EDNRB,IKBKB,CellCall
EDNRB,JUN,CellCall
EDNRB,SMAD2,CellCall
EDNRB,MDM2,CellCall
EDNRB,MYC,CellCall
EDNRB,NFKB1,CellCall
EDNRB,NFKB2,CellCall
EDNRB,NFKBIA,CellCall
EDNRB,RELA,CellCall
EDNRB,TCF7,CellCall
EDNRB,TCF7L2,CellCall
EDNRB,TP53,CellCall
EDNRB,TRAF6,CellCall
EDNRB,CREB5,CellCall
EDNRB,CREB3,CellCall
EDNRB,LEF1,CellCall
EDNRB,CREB3L2,CellCall
EDNRB,TCF7L1,CellCall
EDNRB,CREB3L3,CellCall
EDNRB,CREB3L1,CellCall
EDNRB,CREB3L4,CellCall
EPHA2,ABL1,CellCall
EPHA2,ATF4,CellCall
EPHA2,BRCA1,CellCall
EPHA2,CREB1,CellCall
EPHA2,ATF2,CellCall
EPHA2,ATF6B,CellCall
EPHA2,FOXO3,CellCall
EPHA2,NR4A1,CellCall
EPHA2,IKBKB,CellCall
EPHA2,MDM2,CellCall
EPHA2,MYB,CellCall
EPHA2,MYC,CellCall
EPHA2,NFKB1,CellCall
EPHA2,RBL2,CellCall
EPHA2,RELA,CellCall
EPHA2,RXRA,CellCall
EPHA2,TP53,CellCall
EPHA2,CREB5,CellCall
EPHA2,CREB3,CellCall
EPHA2,CREB3L2,CellCall
EPHA2,CREB3L3,CellCall
EPHA2,CREB3L1,CellCall
EPHA2,CREB3L4,CellCall
EPHA1,ABL1,CellCall
EPHA3,ABL1,CellCall
EPHA4,ABL1,CellCall
EPHA5,ABL1,CellCall
EPHA7,ABL1,CellCall
EPHA8,ABL1,CellCall
EPHA6,ABL1,CellCall
PDGFRB,ATF4,CellCall
PDGFRB,BRCA1,CellCall
PDGFRB,CREB1,CellCall
PDGFRB,ATF2,CellCall
PDGFRB,ATF6B,CellCall
PDGFRB,FOXO3,CellCall
PDGFRB,NR4A1,CellCall
PDGFRB,IKBKB,CellCall
PDGFRB,MDM2,CellCall
PDGFRB,MYB,CellCall
PDGFRB,MYC,CellCall
PDGFRB,NFKB1,CellCall
PDGFRB,RBL2,CellCall
PDGFRB,RELA,CellCall
PDGFRB,RXRA,CellCall
PDGFRB,TP53,CellCall
PDGFRB,CREB5,CellCall
PDGFRB,CREB3,CellCall
PDGFRB,CREB3L2,CellCall
PDGFRB,CREB3L3,CellCall
PDGFRB,CREB3L1,CellCall
PDGFRB,CREB3L4,CellCall
EPHB1,ABL1,CellCall
EPHB2,ABL1,CellCall
EPHB3,ABL1,CellCall
EPHB4,ABL1,CellCall
EPHB6,ABL1,CellCall
EGFR,BRCA1,CellCall
EGFR,CREBBP,CellCall
EGFR,CTNNB1,CellCall
EGFR,EP300,CellCall
EGFR,ETS1,CellCall
EGFR,FOXO1,CellCall
EGFR,FOXO3,CellCall
EGFR,NR4A1,CellCall
EGFR,IKBKB,CellCall
EGFR,MDM2,CellCall
EGFR,FOXO4,CellCall
EGFR,MYB,CellCall
EGFR,NFKB1,CellCall
EGFR,NFKB2,CellCall
EGFR,NFKBIA,CellCall
EGFR,NFKBIB,CellCall
EGFR,RBL2,CellCall
EGFR,RELA,CellCall
EGFR,RXRA,CellCall
EGFR,TCF7,CellCall
EGFR,TCF7L2,CellCall
EGFR,TP53,CellCall
EGFR,TRAF6,CellCall
EGFR,LEF1,CellCall
EGFR,TCF7L1,CellCall
EGFR,FOXO6,CellCall
ERBB2,ATF4,CellCall
ERBB2,BRCA1,CellCall
ERBB2,CREB1,CellCall
ERBB2,ATF2,CellCall
ERBB2,CREBBP,CellCall
ERBB2,ATF6B,CellCall
ERBB2,CTNNB1,CellCall
ERBB2,ELK1,CellCall
ERBB2,EP300,CellCall
ERBB2,FOXO1,CellCall
ERBB2,FOXO3,CellCall
ERBB2,NR4A1,CellCall
ERBB2,IKBKB,CellCall
ERBB2,JUN,CellCall
ERBB2,MDM2,CellCall
ERBB2,MYB,CellCall
ERBB2,MYC,CellCall
ERBB2,NFKB1,CellCall
ERBB2,NFKBIA,CellCall
ERBB2,RBL2,CellCall
ERBB2,RELA,CellCall
ERBB2,RXRA,CellCall
ERBB2,TCF7,CellCall
ERBB2,TCF7L2,CellCall
ERBB2,TP53,CellCall
ERBB2,CREB5,CellCall
ERBB2,CREB3,CellCall
ERBB2,LEF1,CellCall
ERBB2,CREB3L2,CellCall
ERBB2,TCF7L1,CellCall
ERBB2,CREB3L3,CellCall
ERBB2,CREB3L1,CellCall
ERBB2,CREB3L4,CellCall
ERBB3,ATF4,CellCall
ERBB3,BRCA1,CellCall
ERBB3,CREB1,CellCall
ERBB3,ATF2,CellCall
ERBB3,ATF6B,CellCall
ERBB3,FOXO3,CellCall
ERBB3,NR4A1,CellCall
ERBB3,IKBKB,CellCall
ERBB3,MDM2,CellCall
ERBB3,MYB,CellCall
ERBB3,MYC,CellCall
ERBB3,NFKB1,CellCall
ERBB3,RBL2,CellCall
ERBB3,RELA,CellCall
ERBB3,RXRA,CellCall
ERBB3,TP53,CellCall
ERBB3,CREB5,CellCall
ERBB3,CREB3,CellCall
ERBB3,CREB3L2,CellCall
ERBB3,CREB3L3,CellCall
ERBB3,CREB3L1,CellCall
ERBB3,CREB3L4,CellCall
ERBB4,ATF4,CellCall
ERBB4,BRCA1,CellCall
ERBB4,CREB1,CellCall
ERBB4,ATF2,CellCall
ERBB4,ATF6B,CellCall
ERBB4,FOXO3,CellCall
ERBB4,NR4A1,CellCall
ERBB4,IKBKB,CellCall
