complex,subunit,category
CHRNA2&CHRNB3,CHRNB3,Receptor
CHRNA3&CHRNA5&CHRNB2,CHRNA3,Receptor
CHRNA3&CHRNA5&CHRNB2,CHRNA5,Receptor
CHRNA3&CHRNA5&CHRNB2,CHRNB2,Receptor
CHRNA4&CHRNA6&CHRNB3,CHRNA4,Receptor
CHRNA4&CHRNA6&CHRNB3,CHRNA6,Receptor
CHRNA4&CHRNA6&CHRNB3,CHRNB3,Receptor
ADIPOR1&ADIPOR2,ADIPOR1,Receptor
ADIPOR1&ADIPOR2,ADIPOR2,Receptor
IL1R2&IL1RAP,IL1R2,Receptor
IL1R2&IL1RAP,IL1RAP,Receptor
ACVR1&ACVR2B,ACVR1,Receptor
ACVR1&ACVR2B,ACVR2B,Receptor
ACVR1&ACVR2A,ACVR1,Receptor
ACVR1&ACVR2A,ACVR2A,Receptor
CHRNA6&CHRNB3&CHRNB4,CHRNA6,Receptor
CHRNA6&CHRNB3&CHRNB4,CHRNB3,Receptor
CHRNA6&CHRNB3&CHRNB4,CHRNB4,Receptor
BCR&CD22&PTPRC,BCR,Receptor
BCR&CD22&PTPRC,CD22,Receptor
BCR&CD22&PTPRC,PTPRC,Receptor
CHRNA3&CHRNA5&CHRNB4,CHRNA3,Receptor
CHRNA3&CHRNA5&CHRNB4,CHRNA5,Receptor
CHRNA3&CHRNA5&CHRNB4,CHRNB4,Receptor
CALCRL&GPER1&RAMP3,CALCRL,Receptor
CALCRL&GPER1&RAMP3,GPER1,Receptor
CALCRL&GPER1&RAMP3,RAMP3,Receptor
IL1RAP&IL1RL2,IL1RAP,Receptor
IL1RAP&IL1RL2,IL1RL2,Receptor
FZD8&RYK,FZD8,Receptor
FZD8&RYK,RYK,Receptor
KREMEN1&LRP6,KREMEN1,Receptor
KREMEN1&LRP6,LRP6,Receptor
FGFR1&KL,FGFR1,Receptor
FGFR1&KL,KL,Receptor
GALR2&GPR151,GALR2,Receptor
GALR2&GPR151,GPR151,Receptor
GALR3&GPR151,GALR3,Receptor
GALR3&GPR151,GPR151,Receptor
PDGFRA&PDGFRB,PDGFRA,Receptor
PDGFRA&PDGFRB,PDGFRB,Receptor
ACVR1C&ACVR2B&CRIPTO,ACVR1C,Receptor
ACVR1C&ACVR2B&CRIPTO,ACVR2B,Receptor
ACVR1C&ACVR2B&CRIPTO,CRIPTO,Receptor
KREMEN2&LRP6,KREMEN2,Receptor
KREMEN2&LRP6,LRP6,Receptor
BOC&PTCH1,BOC,Receptor
BOC&PTCH1,PTCH1,Receptor
GAS1&PTCH1,GAS1,Receptor
GAS1&PTCH1,PTCH1,Receptor
ACVR1B&ACVR2A&CFC1,ACVR1B,Receptor
ACVR1B&ACVR2A&CFC1,ACVR2A,Receptor
ACVR1B&ACVR2A&CFC1,CFC1,Receptor
ACVR1B&ACVR2A&CRIPTO,ACVR1B,Receptor
ACVR1B&ACVR2A&CRIPTO,ACVR2A,Receptor
ACVR1B&ACVR2A&CRIPTO,CRIPTO,Receptor
CDON&PTCH1,CDON,Receptor
CDON&PTCH1,PTCH1,Receptor
AMN&CUBN,AMN,Receptor
AMN&CUBN,CUBN,Receptor
LRP4&MUSK,LRP4,Receptor
LRP4&MUSK,MUSK,Receptor
FZD6&LRP5,FZD6,Receptor
FZD6&LRP5,LRP5,Receptor
FZD6&LRP6,FZD6,Receptor
FZD6&LRP6,LRP6,Receptor
FZD7&LRP5,FZD7,Receptor
FZD7&LRP5,LRP5,Receptor
FZD7&LRP6,FZD7,Receptor
FZD7&LRP6,LRP6,Receptor
FZD10&LRP5,FZD10,Receptor
FZD10&LRP5,LRP5,Receptor
FZD1&LRP5,FZD1,Receptor
FZD1&LRP5,LRP5,Receptor
FZD9&LRP6,FZD9,Receptor
FZD9&LRP6,LRP6,Receptor
FZD1&LRP6,FZD1,Receptor
FZD1&LRP6,LRP6,Receptor
FZD4&LRP6,FZD4,Receptor
FZD4&LRP6,LRP6,Receptor
FZD10&LRP6,FZD10,Receptor
FZD10&LRP6,LRP6,Receptor
FZD2&LRP5,FZD2,Receptor
FZD2&LRP5,LRP5,Receptor
FZD2&LRP6,FZD2,Receptor
FZD2&LRP6,LRP6,Receptor
FZD5&LRP6,FZD5,Receptor
FZD5&LRP6,LRP6,Receptor
FZD5&LRP5,FZD5,Receptor
FZD5&LRP5,LRP5,Receptor
FZD8&LRP6,FZD8,Receptor
FZD8&LRP6,LRP6,Receptor
FZD3&LRP6,FZD3,Receptor
FZD3&LRP6,LRP6,Receptor
FZD8&LRP5,FZD8,Receptor
FZD8&LRP5,LRP5,Receptor
FZD3&LRP5,FZD3,Receptor
FZD3&LRP5,LRP5,Receptor
FZD9&LRP5,FZD9,Receptor
FZD9&LRP5,LRP5,Receptor
BOC&PTCH2,BOC,Receptor
BOC&PTCH2,PTCH2,Receptor
GAS1&PTCH2,GAS1,Receptor
GAS1&PTCH2,PTCH2,Receptor
CDON&PTCH2,CDON,Receptor
CDON&PTCH2,PTCH2,Receptor
GALR1&GPR151,GALR1,Receptor
GALR1&GPR151,GPR151,Receptor
ITGA5&ITGB1,ITGA5,Receptor
ITGA5&ITGB1,ITGB1,Receptor
ITGA4&ITGB1,ITGA4,Receptor
ITGA4&ITGB1,ITGB1,Receptor
ITGAM&ITGB2,ITGAM,Receptor
ITGAM&ITGB2,ITGB2,Receptor
NRP1&PLXNA2,NRP1,Receptor
