complex,category,subunit
LGR5&LRP6,Receptor,LGR5
LGR5&LRP6,Receptor,LRP6
LGR4&LRP6,Receptor,LGR4
LGR4&LRP6,Receptor,LRP6
GFRA3&RET,Receptor,GFRA3
GFRA3&RET,Receptor,RET
IL31RA&OSMR,Receptor,IL31RA
IL31RA&OSMR,Receptor,OSMR
IFNLR1&IL10RB,Receptor,IFNLR1
IFNLR1&IL10RB,Receptor,IL10RB
IFNL3&IFNLR1&IL10RB,Receptor,IFNL3
IFNL3&IFNLR1&IL10RB,Receptor,IFNLR1
IFNL3&IFNLR1&IL10RB,Receptor,IL10RB
IL1RAP&IL1RL2,Receptor,IL1RAP
IL1RAP&IL1RL2,Receptor,IL1RL2
CRLF2&IL7R&TSLP,Receptor,CRLF2
CRLF2&IL7R&TSLP,Receptor,IL7R
CRLF2&IL7R&TSLP,Receptor,TSLP
CRLF2&IL7R,Receptor,CRLF2
CRLF2&IL7R,Receptor,IL7R
ACVR1B&ACVR2B&TDGF1,Receptor,ACVR1B
ACVR1B&ACVR2B&TDGF1,Receptor,ACVR2B
ACVR1B&ACVR2B&TDGF1,Receptor,TDGF1
NRP1&NRP2&PLXND1,Receptor,NRP1
NRP1&NRP2&PLXND1,Receptor,NRP2
NRP1&NRP2&PLXND1,Receptor,PLXND1
IL10RB&IL22RA1,Receptor,IL10RB
IL10RB&IL22RA1,Receptor,IL22RA1
IL22&IL22RA1,Receptor,IL22
IL22&IL22RA1,Receptor,IL22RA1
IL17RA&IL17RB,Receptor,IL17RA
IL17RA&IL17RB,Receptor,IL17RB
IL21R&IL2RG,Receptor,IL21R
IL21R&IL2RG,Receptor,IL2RG
IL10RB&IL20RA,Receptor,IL10RB
IL10RB&IL20RA,Receptor,IL20RA
IL18R1&SIGIRR,Receptor,IL18R1
IL18R1&SIGIRR,Receptor,SIGIRR
IL17RA&IL17RE,Receptor,IL17RA
IL17RA&IL17RE,Receptor,IL17RE
CNTFR&IL6ST&LIFR,Receptor,CNTFR
CNTFR&IL6ST&LIFR,Receptor,IL6ST
CNTFR&IL6ST&LIFR,Receptor,LIFR
B2M&FCGRT,Receptor,B2M
B2M&FCGRT,Receptor,FCGRT
